Match_id,season,city,date,team1,team2,toss_win,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,match_refree,reserve_umpire,tv_umpire,umpire1,umpire2
65,2018,Jaipur,2018-04-11,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,D/L,Rajasthan Royals,10,0,SV Samson,Sawai Mansingh Stadium,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon
66,2018,Hyderabad,2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,1,Rashid Khan,Rajiv Gandhi International Stadium,S Chaturvedi,R Pandit,VA Kulkarni,CK Nandan,NJ Llong
67,2018,Bengaluru,2018-04-13,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,UT Yadav,M.Chinnaswamy Stadium,V Narayan Kutty,K Srinath,C Shamshuddin,A Deshmukh,S Ravi
68,2018,Mumbai,2018-04-14,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,JJ Roy,Wankhede Stadium,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon
69,2018,Kolkata,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,B Stanlake,Eden Gardens,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore
70,2018,Bengaluru,2018-04-15,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rajasthan Royals,19,0,SV Samson,M.Chinnaswamy Stadium,M Nayyar,K Srinath,A Deshmukh,C Shamshuddin,S Ravi
71,2018,Chandigarh,2018-04-15,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings XI Punjab,4,0,CH Gayle,Punjab Cricket Association IS Bindra Stadium,S Chaturvedi,R Pandit,NJ Llong,CK Nandan,VA Kulkarni
72,2018,Kolkata,2018-04-16,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kolkata Knight Riders,71,0,N Rana,Eden Gardens,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore
73,2018,Mumbai,2018-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,46,0,RG Sharma,Wankhede Stadium,J Srinath,N Pandit,KN Ananthapadmanabhan,Nitin Menon,RJ Tucker
74,2018,Jaipur,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,N Rana,Sawai Mansingh Stadium,M Nayyar,K Srinath,C Shamshuddin,A Deshmukh,S Ravi
75,2018,Chandigarh,2018-04-19,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,0,Kings XI Punjab,15,0,CH Gayle,Punjab Cricket Association IS Bindra Stadium,S Chaturvedi,R Pandit,VA Kulkarni,AK Chaudhary,NJ Llong
